Date,Title,articleLead,articleText,url
"26 апреля, 20:50",В Иркутской области закрыли дело против полицейских о пытках многодетной матери,"Следователи четыре месяца назад прекратили уголовное дело против полицейских, которых ранее обвиняли в пытках жительницы Иркутской области Марины Рузаевой. В течение этого времени они не сообщали об этом ни потерпевшей, ни ее защите,  написал  у себя в фейсбуке фонд «Общественный вердикт» со ссылкой на соответствующее постановление.","В сообщении говорится, что следователь Александр Корнев прекратил расследование уголовного дела еще 29 декабря 2017 года «из-за отсутствия состава преступления». В постановлении отмечается, что судмедэкспертизы не подтвердили версию о том, что к Рузаевой применялись пытки электрошокером. Дополнительные экспертизы, которые были позже назначены следствием, установили, что возможность установить применение электрошокера «безвозвратно утрачена», говорится в постановлении. Следователь также сообщил, что в деле нет фотографий, которые бы могли доказать применение пыток. В «Общественном вердикте», юрист которого Яков Ионцев ведет дело Рузаевой, в свою очередь, отметили, что фотографии телесных повреждений женщины есть у защиты. По словам Ионцева, «версия Рузаевой правдоподобна и последовательна, подтверждена в ходе следственного эксперимента». Юрист подчеркнул, что эксперты тоже подтвердили наличие телесных повреждений у женщины. В «Общественном вердикте» добавили, что решение о прекращении дела защита намерена обжаловать. В декабре 2016 года следствие  предъявило  обвинение троим полицейским Денису Самойлову, Александру Корбуту и Станиславу Гольченко. Им вменяли превышение должностных полномочий с применением насилия (п. «а, б», ч. 3, ст. 286 УК). По словам правозащитников, вечером 2 января двое мужчин в гражданской одежде пришли домой к Рузаевой. Они показали  удостоверения и попросили женщину проехать в ОВД, сославшись на то, что им нужна помощь в раскрытии преступления. В участке, по данным «Общественного вердикта», Рузаеву заставили разуться, после чего пристегнули наручниками к скамейке, надели на голову пакет и избивали более пяти часов. Полицейские били женщину по голове и пытали электрошокером, требуя признаний в убийстве, отметили в фонде.",https://tvrain.ru/news/pytki_zhenschiny-462686/
"26 апреля, 20:33",Бывшего директора ЦРУ Майка Помпео утвердили на посту госсекретаря США,"Сенат США утвердил на должности главы Госдепартамента Майка Помпео, бывшего директора ЦРУ. За него проголосовали 57 сенаторов, против — 42,  сообщает  Reuters.","Президент Дональд Трамп  предложил  кандидатуру Помпео на пост госсекретаря 13 марта. В тот же день он отправил в отставку с этой должности бывшего руководителя Exxon Mobil Рекса Тиллерсона. Президент объяснил, что с Тиллерсоном у него не было понимания по ряду вопросов внешней политики, и выразил уверенность, что Помпео «сделает фантастическую работу». Против Помпео выступали сенатор-демократы, которые опасались, что у него сложились слишком тесные отношения с президентом.  В середине апреля, выступая перед конгерссменами, Помпео в ответ на вопрос о России  напомнил  о словах президента Владимира Путина о том, что распад СССР был величайшей геополитической катастрофой XX века. Как заявил Помпео, из этого можно сделать вывод о том, что цель российского лидера — вернуть своей стране былое могущество и имидж ядерной державы, а также ослабить американское влияние по всему миру. Для противодействия этому он призвал использовать давление во всех сферах, включая дипломатию, экономику и киберпространство. За три недели до утверждения в должности Трамп послал Помпео в КНДР для встречи с северокорейским лидером Ким Чен Ыном в преддверии двустороннего саммита. Также новому госсекретарю предстоит вести работу с европейскими союзниками в вопросе о возможном ужесточении санкций против Ирана.",https://tvrain.ru/news/senat-462685/
"26 April, 11:21",Глава МИД и вице-премьер Армении проведут переговоры в Москве,"Исполняющий обязанности первого вице-премьера Армении Армен Геворкян утром 26 апреля отправился в Москву, где проведет рабочие переговоры. Об этом сообщает « Интерфакс » со ссылкой на пресс-службу армянского правительства.","Источник «Интерфакса» также рассказал, что в Москве уже находится глава МИД Армении Эдвард Налбандян, он планирует провести встречи с «российскими официальными лицами». По словам собеседника агентства, на переговорах будут обсуждаться вопросы, связанные с внутриполитическим кризисом в Армении и российско-армянские отношения. Накануне  стало известно , что российские дипломаты встретились с лидером оппозиции Армении Николом Пашиняном. На встрече также присутствовали соратник Пашиняна Арарат Мирзоян и пресс-секретарь партии «Гражданский договор» Тигран Авинян. Дипломаты призвали организаторов протестов «к конструктивному диалогу с действующими властями и другими политическими силами».  «Сегодня я встречался с официальными представителями России и получил конкретные заверения о том, что Москва не будет вмешиваться во внутренние дела Армении», — сказал Пашинян в среду, 25 апреля, во время митинга на площади Республики в центре Еревана.  С 13 апреля в Ереване проходили акции протеста против избрания бывшего президента страны Сержа Саргсяна премьер-министром. 23 апреля Саргсян подал в отставку. Позже Пашинян  объявил  о продолжении акций протеста. Это произошло после провала переговоров оппозиции с временно исполняющим обязанности премьер-министра Кареном Карапетяном. Новым требованием протестующие называют уход правящей Республиканской партии Армении.  25 апреля оппозиционный депутат Арарат Мирзоян  объявил , что Карапетян подал в отставку. Однако в пресс-службе правительства Армении заявили, что Карапетян продолжает исполнять обязанности премьер-министра.",https://tvrain.ru/news/glava_mid_i_vitse_premer_armenii-462639/
"26 апреля, 19:55",Прохоров подаст в суд из-за расследования ФБК о покупке виллы у Хлопонина,"Михаил Прохоров подаст иск о клевете к Фонду борьбы с коррупцией (ФБК) Алексея Навального из-за расследования о покупке виллы в Италии у вице-премьера Александра Хлопонина. Об этом Дождю сообщили в пресс-службе группы «ОНЭКСИМ», которую контролирует Прохоров.","Представитель группы назвал ложью утверждение Алексея Навального о том, что покупка виллы по завышенной цене была взяткой. Он заверил, что сделка «была абсолютно прозрачной». «Будем подавать иск о клевете», — сказал он. Хлопонин продал виллу в Италии офшору бизнесмена Михаила Прохорова за 35,5 миллиона евро, говорится в новом  расследовании  ФБК. Навальный назвал это «оформлением взятки», так как, по оценкам ФБК, такая вилла должна стоить втрое дешевле. Хлопонин за 2017 год  задекларировал  рекордно большой доход  —  2,9 миллиарда рублей. 24 апреля Русская служба Би-би-си  сообщила , что  это стало возможным после того, как он продал виллу и участок земли в Италии Прохорову.  Журналисты подсчитали, что чиновник мог продать свою недвижимость примерно за 2,89 миллиарда рублей или 44 миллиона евро. Навальный сравнил сумму в договоре о сделке с объявлениями о продаже недвижимости по соседству. Похожие по размерам и ценовому уровню здания с участками, по его словам, продаются за пять-десять миллионов евро, то есть, по меньшей мере, в три раза дешевле. Он сделал вывод, что дом Хлопонина, расположенный далеко от моря, «не может стоить 35 миллионов евро», и ни один «здравомыслящий человек» ее за такие деньги не купит. По его мнению, за счет этой сделки Прохоров  «купил»  «одного из высших чиновников правительства России», который курирует недропользование. Прохоров и Хлопонин вместе учились в Московском финансовом институте. В 1996 году Хлопонин стал гендиректором «Норникеля», одним из акционеров которого был Прохоров. Когда Хлопонин был губернатором Красноярского края, Прохоров получил постоянную регистрацию в красноярском поселке Еруда Северо-Енисейского района и платил налоги в краевой бюджет. Расследования ФБК уже становились поводом для исков о клевете. Год назад Люблинский суд Москвы  обязал  Навального и его фонд опровергнуть недостоверную информацию о бизнесмене Алишере Усманове в фильме «Он вам не Димон». Претензии предпринимателя были связаны с утверждением о том, что он якобы дал взятку премьер-министру Дмитрию Медведеву через пожертвование земельного участка с постройками в селе Знаменское фонду «Соцгорпроект», связанную председателем правительства. В октябре 2017 году иск о клевете у ФБК выиграл фонд «Соцгоспроект», набсовет которого возглавляет однокурсник премьер-министра Дмитрия Медведева Илья Елисеев. Поводом для иска стало то же расследование.",https://tvrain.ru/news/prohorov_podast_isk-462682/
"25 April, 19:58",Роскомнадзор назвал безрезультатными переговоры с Amazon по блокировке Telegram,"Переговоры с компанией Amazon по ситуации, связанной с блокировкой мессенджера Telegram, к положительным результатам пока не привели. Об этом замглавы Роскомнадзора Вадим Субботин  сообщил  на встрече с представителями IT-индустрии по вопросу блокировки Telegram.","Он рассказал, что Роскомнадзор продолжает рабочие контакты с Amazon и Google о прекращении предоставления Telegram IP-адресов для работы мессенджера в России в нарушение решения суда. Отсутствие положительных результатов в переговорах с Amazon Субботин связал с политическими причинами. «Напротив, взаимодействие с Google становятся более конструктивным, начат предметный диалог», — говорится в сообщении. Таганский суд Москвы 13 апреля принял решение заблокировать Telegram из-за отказа предоставить ФСБ ключи шифрования к переписке пользователей. Роскомнадзор начал блокировать мессенджер с 16 апреля. На следующий день ведомство  уведомило  Amazon и Google о блокировке их IP-адресов, которые мессенджер Telegram использует для обхода блокировок. После этого пользователи начали жаловаться на проблемы с доступом к различным ресурсам из-за блокировок.",https://tvrain.ru/news/telegram-462603/
"25 April, 10:49",Пострадавший во время урагана в Москве умер в больнице,"В Москве в одной из больниц умер мужчина, пострадавший во время урагана 21 апреля. Об этом «Интерфаксу»  сообщил  информированный источник.","По его словам, состояние пострадавшего было крайне тяжелое, и врачи не смогли его спасти. На утро 25 апреля в больницах города остаются 11 пострадавших из-за урагана. Ранее мэр Москвы Сергей Собянин сообщал, что в результате урагана пострадали 12 человек и погиб один ребенок. Девочка умерла в больнице, ее состояние было крайне тяжелым, и спасти ее не удалось. Власти города решили выплатить семье погибшей один миллион рублей. Пострадавшим, которые были госпитализированы, обещали выплатить по 500 тысяч рублей, тем, кому медицинскую помощь оказывали амбулаторно, — по 100 тысяч рублей. Это второй сильный ураган в Москве за последний год. Предыдущий произошел 29 мая 2017 года. Его жертвами стали 16 человек, еще 200 получили травмы. Были повреждены более 30 тысяч деревьев, более двух тысяч автомобилей, кровли сотен зданий.",https://tvrain.ru/news/postradavshij_vo_vremja-462561/
"26 апреля, 19:17",Ректор ИТМО призвал советника президента вмешаться в действия Роскомнадзора,"Ректор петербургского Университета информационных технологий, механики и оптики (ИТМО) Владимир Васильев призвал советника президента по интернету Германа Клименко вмешаться в действия Роскомнадзора по блокировке Telegram, из-за которых исчезает доступ к другим ресурсам. Его открытое письмо  опубликовано  на сайте университетского издания.","Роскомнадзор с 16 апреля блокирует IP-адреса хостинг-провайдеров Google, Amazon, Microsoft и Digital Ocean, через которые Telegram обходил блокировку, напомнил Васильев. Это создает «серьезные проблемы в работе ученых и преподавателей университета ИТМО и других российских вузов, наносящие существенный урон для всей системы отечественной науки и образования и, в конечном итоге, для экономики страны», отметил он. Сотрудники вуза утратили доступ к научным статьям в издательской системе Evise, которой пользуется издательство Elsevier, так как файлы статей хранятся на серверах Amazon, IP-адреса которых заблокированы, рассказал ректор. По той же причине, по его словам, неделю не работает онлайн-курс ИТМО «Как побеждать на олимпиадах по программированию: секреты чемпионов» на платформе открытого образования edX. Васильев напомнил, что ИТМО является мировым рекордсменом по количеству побед на крупнейшем чемпионате мира по программированию ACM ICPC, блокировка сайта, по его мнению, подрывает позиции вуза на международном рынке образования. Действия Роскомнадзора грозят привести к тому, что ИТМО и другие образовательные центры не смогут выполнить задачи президента Владимира Путина по повышению конкурентоспособности российских университетов, предупредил ректор. Также он напомнил о репутационном аспекте ситуации и о том, что «высокий уровень российской науки и образования остается одним из немногих неоспоримых конкурентных преимуществ нашей страны на глобальном уровне». Васильев призвал Германа Клименко вмешаться в действия Роскомнадзора и обеспечить восстановление доступа ученых и преподавателей к необходимым им сервисам, «дабы предотвратить катастрофические последствия сложившейся ситуации для будущего России». 25 апреля Совет по науке при Минобрнауки  возложил  на Роскомнадзор ответственность за сбои в работе сайтов, без доступа к которым ученые не могут полноценно работать. В его заявлении были перечислены служба поиска в текстах научных статей Google Scholar, библиотеки научного издательства Elsevier, сервиса для работы с библиографиями в научных статьях Mendeley, службы планирования совещаний и конференций Doodle и другие. Комментируя заявление Совета, глава Минобрнауки Ольга Васильева назвала «надуманными» слова об угрозе срыва научной работы в России ( цитата  ТАСС). По ее словам, ее заместитель Григорий Трубников встретится с членами Совета и уточнит их позицию. До блокировки Telegram Клименко высказывал уверенность, что рано или поздно владельцы мессенджера согласятся выполнять российские законы, а до тех пор советовал перейти на другие сервисы, например на ICQ. После начала блокировок миллионов IP-адресов он  отметил , что «имело бы смысл за Роскомнадзор извиниться за эту сложную историю», но выразил надежду, что вскоре Роскомнадзор начнет действовать более аккуратно. «Роскомнадзор выполняет простую опцию, как ему положено по закону — как сотрудник ГИБДД, который вас штрафует за пересечение двойной сплошной. Вы можете истерить, но есть закон», —  заявил  он 25 апреля телеканалу «МИР 24». По мнению советника, создатель Telegram Павел Дуров «перешел в Amazon и Google не с платной услугой, а с возможностью бегать от запрета, то есть ставить свои сервисы на чужие IP-адреса». «Грубо говоря, Дуров сейчас по сути произвел DDoS-атаку, правда с помощью методов, которыми реагирует Роскомнадзор, а Роскомнадзор не может реагировать по-другому», — объяснил он. По данным сайта  usher2.club , который занимается мониторингом блокировок IP-адресов Роскомнадзором, на 19:08 мск были заблокирваны 17 974 337 IP-адресов.",https://tvrain.ru/news/itmo-462677/
"26 April, 19:11",В Туле жители остались без электричества из-за ветра,В Туле и трех районах Тульской области из-за сильного ветра нарушилось электроснабжение. Об этом  сообщает  «Интерфакс» со ссылкой на пресс-службу ГУ МЧС по региону.,"В пресс-службе отметили, что речь идет о частичном отключении электроснабжения в четырех муниципальных образованиях Тульской области — городском округе Тула, Алексинском, Суворовском и Щекинском районах. Пока неизвестно количество людей, пострадавших от этого, добавил собеседник агентства. Число населенных пунктов тоже уточняется. В Тульском центре по гидрометеорологии и мониторингу окружающей среды отметили, что в области отмечается усиление западного ветра до 13−18 м/с. 21 апреля «Интерфакс»  сообщал  о массовом обрыве электросетей в Тульской области из-за сильного дождя, ветра и снега. Тогда пострадали более 13 тысяч человек.",https://tvrain.ru/news/tula_elektrichestvo-462676/
"25 April, 19:32",Глава ФАС усомнился в возможности блокировки Telegram,"Глава Федеральной антимонопольной службы (ФАС)  Игорь Артемьев пожелал Роскомнадзору «добиться успеха» в блокировке  мессенджера Telegram, однако выразил сомнение в том, что эта задача выполнима,  передает  ТАСС.","«Я не знаю, как принимались эти решения (о способах блокировки Telegram — прим. Дождь), какие эксперты обслуживали эту тему, я искренне желаю Роскомнадзору, поскольку есть решение суда, добиться успеха. Но я не очень верю, что так случится», — отметил Артемьев. Он отметил, что компании, которые пострадали от блокировки мессенджера, не обращались в ФАС. «Я надеюсь, что при достижении этой цели (блокировки Telegram — прим. Дождь) не будет сметено все вообще вокруг могучим ураганом», — добавил глава ФАС. Роскомнадзор начал блокировать Telegram 16 апреля после решения Таганского суда Москвы. Поводом для запрета мессенджера послужил отказ Telegram предоставить ФСБ ключи шифрования к переписке пользователей. Роскомнадзор уже заблокировал более 18 млн IP-адресов Google, Amazon, Microsoft и Digital Ocean, которые Telegram использует для обхода блокировки. Кроме того, ведомство  ограничило  доступ к 18 прокси и VPN, которые пользователи использовали для обхода запрета. После блокировки Роскомнадзором Telegram о сбоях в работе сообщили пользователи мессенджера  Viber ,  твиттера ,  «Однаклассников» , «ВКонтакте», YouTube , а также нескольких онлайн-игр. Со сбоями в работе своих сайтов  столкнулись  СМИ, в том числе радиостанция «Говорит Москва». 25 апреля «Медиалогия»  опубликовала  отчет, согласно которому просмотры в Telegram сократились после блокировки на 76,5%. Ранее, в первый день после начала блокировки,:основатель мессенджера Павел Дуров  сообщал , что администрация Telegram пока не заметила существенного падения активности российских пользователей, несмотря на блокировку. Он отмечал, что может быть связано с тем, что россияне обходят запрет через VPN и прокси-серверы.",https://tvrain.ru/news/glava_fas_telegram-462601/
"25 April, 10:35",Одного из разработчиков «Новичка» сбила машина,На Кубани одного из из разработчиков отравляющих веществ класса «Новичок» Владимира Углева сбила машина. Об этом он  рассказал  The Bell.,"ДТП произошло 24 апреля в поселке под Анапой. Углев госпитализирован с травмой головы и ноги. По словам Углева, его сбил на пешеходном переходе рядом с его домом пожилой житель того же поселка. С места происшествия водитель не скрылся. Углев работал в группе, которая разрабатывала нервно-паралитические вещества класса «Новичок». Он был сотрудником Вольского филиала Государственного научно-исследовательского института органической химии и технологии (ГОСНИИОХТ), в котором с 1972 года шли работы над новыми отравляющими веществами. Из института он ушел в 1994 году и сейчас находится на пенсии.  Правительство Великобритании считает, что одно из веществ класса «Новичок» использовали для отравления бывшего полковника ГРУ Сергея Скрипаля, который работал на британские спецслужбы, и его дочери. Это произошло в начале марта в городе Солсбери в Великобритании. Первым комментировать заявления британской стороны об отравлении начал уехавший в США Вил  Мирзаянов . В ГОСНИИОХТе он был начальником отдела противодействия техническим разведкам и имел допуск к секретной информации. До эмиграции, в начале 1990-х годов его дважды арестовывали по обвинению в разглашении гостайны за публикации статьи о химическом оружии. В 2008 году, находясь в эмиграции, он издал книгу о «Новичке». Также ситуацию комментирует Леонид Ринк, который работал в филиале ГОСНИИОХта в Шиханах. По его словам, он был ведущим научным сотрудником и начальником лаборатории и участвовал в создании отравляющего вещества. СМИ писали, что он проходил свидетелем об убийстве нервно-паралитическим веществом банкира и бизнесмена Ивана Кивелиди и его ⁠секретарши в 1995 году. Из протоколов его допросов, которые нашли журналисты, следует, что он  признавался  в незаконной продаже отравляющих веществ, в том числе участникам преступных группировок. В марте Леонид Ринк  пригрозил  судом «Новой газете», за публикацию о его причастности к продаже отравляющих веществ преступникам в 90-х годах.",https://tvrain.ru/news/razrabotchikov_novichka-462560/
